Bidding Sequences;Shape;Strength;Opening;Family;ClubSlam;DiamondSlam;HeartSlam;SpadeSlam;HeartGame;SpadeGame;ClubGame;DiamondGame
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2NT - 3{SUITS[3]} // \n\n 4{SUITS[2]}""";[0,3,3,7];Min;1C;7-3-3-0;4S;N.v.t.;N.v.t.;N.v.t.;4H;N.v.t.;5C;5D
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[3]} - 3{SUITS[2]} // \n\n 3{SUITS[0]}""";[2,4,2,5];Min;1C;5-4-2-2;4D;N.v.t.;4C;N.v.t.;4H;N.v.t.;5C;N.v.t.
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[3]} - 3{SUITS[2]} // \n\n 3{SUITS[1]} - 3{SUITS[0]} // \n\n 3NT""";[3,4,1,5];Min;1C;5-4-3-1;4D;N.v.t.;4C;N.v.t.;4H;4S;5C;N.v.t.
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[3]} - 3{SUITS[2]} // \n\n 3NT""";[1,4,3,5];Min;1C;5-4-3-1;4D;N.v.t.;4C;N.v.t.;4H;N.v.t.;5C;5D
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[3]} - 3{SUITS[2]} // \n\n 4{SUITS[3]}""";[0,4,4,5];Min;1C;5-4-4-0;4S;4NT;4D;N.v.t.;4H;N.v.t.;5C;5D
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[2]} - 3{SUITS[1]} // \n\n 3NT""";[1,4,2,6];Min;1C;6-4-2-1;4D;N.v.t.;4C;N.v.t.;4H;N.v.t.;5C;N.v.t.
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[2]} - 3{SUITS[1]} // \n\n 3{SUITS[0]}""";[2,4,1,6];Min;1C;6-4-2-1;4D;N.v.t.;4C;N.v.t.;4H;N.v.t.;5C;N.v.t.
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[2]} - 3{SUITS[1]} // \n\n 4{SUITS[3]}""";[3,4,0,6];Min;1C;6-4-3-0;4NT;N.v.t.;4D;N.v.t.;4H;4S;5C;N.v.t.
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[2]} - 3{SUITS[1]} // \n\n 4{SUITS[2]}""";[0,4,3,6];Min;1C;6-4-3-0;4NT;N.v.t.;4S;N.v.t.;4H;N.v.t.;5C;5D
"f""1{SUITS[3]} - 1NT // \n\n 2{SUITS[3]} - 2{SUITS[2]} // \n\n 2{SUITS[0]} - 2NT // \n\n 3{SUITS[0]}""";[3,2,3,5];Min;1C;5-3-3-2;4C;N.v.t.;N.v.t.;N.v.t.;N.v.t.;4S;5C;5D
